id,name,code,governorate
50000,???????,alFintas,1
51215,?????,alThahar,1
51600,???? ?????,jaberAlAli,1
52400,????????,fnaitees,1
52700,????,Hadeya,1
53300,??????,alRuqqa,1
53700,??????,alManqaf,1
53800,??? ??????,fahadAlAhmed,1
54000,????????,alMahabula,1
54200,???????,alEqaila,1
54600,??? ?????,abuHalifa,1
55000,????????,alsabaheya,1
60000,???????,alAhmadi,1
60200,??????,magwa,1
63000,????????,alFahaiheel,1
65000,??? ?????? ??????,aliAlSalemAlSabah,1
65200,????? ??? ????,menaAbdulla,1
65300,???????,alShuaiba,1
65500,????????,alNuwaiseb,1
65700,??????,alWafra,1
65900,?????,alZur,1
66100,?????,alKout,1
67500,???????,alKhiran,1
66304,???????,alJulea,1
66390,??????,alLaiah,1
67500,???? ?????? 1,sabahAlAhmed1,1
67520,???? ?????? 2,sabahAlAhmed2,1
67540,???? ?????? 3,sabahAlAhmed3,1
67560,???? ?????? 4,sabahAlAhmed4,1
67580,???? ?????? 5,sabahAlAhmed5,1
14000,??????,alQebla,2
14250,??????,alWatya,2
15000,???????,alMirqab,2
15300,????????,alSawaber,2
15300,?????,Sharq,2
13500,???????,alSawaber,2
15400,?????,dasman,2
25200,????? ?????,failakaIsland,2
35000,??????,alDasma,2
35000,??????,alDoha,2
35300,??????,alDeaya,2
35500,?????????,alMansureya,2
35700,????????,alqadseya,2
36200,???? ?????,beneidAlGar,2
45400,?????,alSurra,2
66450,??????,alNahda,2
70031,??????,alShuwaik,2
70700,????????,alQairawan,2
71501,???????,alShameya,2
71801,?????,kaifan,2
72100,??? ???? ??????,abdullahAlSalim,2
72300,????????,alKhaldeya,2
72500,???????,alYarmok,2
72700,???????,alFaiha,2
72900,??????,alNuzha,2
73100,????????,alOdeileya,2
73300,??????,alRauda,2
73500,?????,Qurtuba,2
90000,?????????,Sulebekhat,2
91710,???? ??????,jaberAlAhmad,2
93500,??????,Granada,2
66360,?? ???????,ummAlMaradem,2
66350,????? ?????,qarohIsland,2
26640,????? ?????,miskanIsland,2
26620,????? ????,ouhahIsland,2
73920,????? ?? ?????,ummAlNamilIsland,2
66430,????? ???,kubbarIsland,2
70070,????,alRai,3
83000,?????,khaitan,3
85000,?????????,alFarwaniyah,3
85000,???????,alOmareya,3
85200,???????,alRabya,3
85400,??????,eshbeliya,3
85600,????????,alArdiya,3
85600,??????,alSideeq,3
85600,???? ??????,jaleebAlShuyoukh,3
85601,??????,alDhajej,3
85700,??? ???? ???????,abdullaAlMubarak,3
86000,??????,alRehab,3
92000,???????,alAndalus,3
92200,???????,alFerdous,3
92400,????????,alArdeya,3
92420,???? ??????,sabahAlNaseer,3
92700,??????,alRiggae,3
20000,????????,alSalmeya,4
25000,?????,alBidea,4
25400,????????,alRumaitheya,4
25600,????,salwa,4
30000,????,Hawali,4
35900,?????,alShueb,4
40000,????,meshref,4
40006,??? ????,westMishref,4
40250,????? ????? ???? ??????,mubarakAlAbdullahAlJaber,4
43600,????,bayan,4
46300,????????,alJabreya,4
47700,??????,alSalam,4
47720,??????,alSadeq,4
47740,????,haten,4
47760,???????,alZahra,4
47780,???????,alShuhada,4
70031,??????,alNaseem,5
91100,??? ????? ????,saadAlAbdalla,5
20,???????,alJahra,5
00003,?????,amgara,5
40,?????,alQasser,5
60,??????,alNaeem,5
80,?????,taima,5
100,??????,alWaha,5
120,??????,alOyon,5
03400,???????,alMutla,5
03600,????????,alSulabeya,5
04000,??????,alSabeya,5
26600,???????,alMessila,6
26600,???????,alMasayel,6
44000,???? ??????,sabahAlSalem,6
46000,?????,sabhan,6
47000,??????,alAdan,6
47020,??????,alQusor,6
47040,??????,alQurain,6
47060,????? ??????,mubarakAlKabeer,6
47080,??? ??????,eastAlQurain,6
47080,??? ?????,abuFatera,6
51400,??? ???????,abuAlHassani,6
52400,????????,alFunaitess,6
